text,label
which policies are active now?,QUERY_INFORMATION
when was the rule last changed?,QUERY_INFORMATION
how do I find document ID?,QUERY_INFORMATION
what’s the current version of the template?,QUERY_INFORMATION
how to rollback a rule update?,QUERY_INFORMATION
how are changes audited?,QUERY_INFORMATION
which user added this rule?,QUERY_INFORMATION
how do I verify a document?,QUERY_INFORMATION
how are roles assigned?,QUERY_INFORMATION
can I see version history?,QUERY_INFORMATION
what rules are mandatory?,QUERY_INFORMATION
where do I request edit access?,QUERY_INFORMATION
what happens after submitting a doc?,QUERY_INFORMATION
which team reviews new rules?,QUERY_INFORMATION
who owns the document?,QUERY_INFORMATION
how often are rules reviewed?,QUERY_INFORMATION
what’s the approval workflow?,QUERY_INFORMATION
how do I archive a file?,QUERY_INFORMATION
what tags are used in documents?,QUERY_INFORMATION
what’s the format for rules?,QUERY_INFORMATION
how do I know a rule was applied?,QUERY_INFORMATION
what’s the difference between rules and policies?,QUERY_INFORMATION
can I revert a deleted doc?,QUERY_INFORMATION
how do rule priorities work?,QUERY_INFORMATION
what’s the naming convention?,QUERY_INFORMATION
how long does it take to update a policy?,QUERY_INFORMATION
where do I find version notes?,QUERY_INFORMATION
how do I escalate a policy issue?,QUERY_INFORMATION
delete the outdated compliance form,DELETE_DOCUMENT
remove old employee records,DELETE_DOCUMENT
clear obsolete contracts,DELETE_DOCUMENT
erase the draft proposal,DELETE_DOCUMENT
discard invalid reports,DELETE_DOCUMENT
delete the retired policy file,DELETE_DOCUMENT
remove uploaded image from the doc,DELETE_DOCUMENT
permanently delete the evaluation form,DELETE_DOCUMENT
wipe the test document,DELETE_DOCUMENT
remove the outdated version of the form,DELETE_DOCUMENT
delete duplicate entries,DELETE_DOCUMENT
clear project closure document,DELETE_DOCUMENT
erase the invalid attachment,DELETE_DOCUMENT
delete archived rule file,DELETE_DOCUMENT
discard backup document,DELETE_DOCUMENT
remove temporary document files,DELETE_DOCUMENT
delete document number 17,DELETE_DOCUMENT
delete document number 18,DELETE_DOCUMENT
delete document number 19,DELETE_DOCUMENT
delete document number 20,DELETE_DOCUMENT
delete document number 21,DELETE_DOCUMENT
delete document number 22,DELETE_DOCUMENT
delete document number 23,DELETE_DOCUMENT
delete document number 24,DELETE_DOCUMENT
delete document number 25,DELETE_DOCUMENT
delete document number 26,DELETE_DOCUMENT
delete document number 27,DELETE_DOCUMENT
delete document number 28,DELETE_DOCUMENT
delete document number 29,DELETE_DOCUMENT
delete document number 30,DELETE_DOCUMENT
delete document number 31,DELETE_DOCUMENT
delete document number 32,DELETE_DOCUMENT
delete document number 33,DELETE_DOCUMENT
delete document number 34,DELETE_DOCUMENT
delete document number 35,DELETE_DOCUMENT
delete document number 36,DELETE_DOCUMENT
delete document number 37,DELETE_DOCUMENT
delete document number 38,DELETE_DOCUMENT
delete document number 39,DELETE_DOCUMENT
delete document number 40,DELETE_DOCUMENT
delete document number 41,DELETE_DOCUMENT
delete document number 42,DELETE_DOCUMENT
delete document number 43,DELETE_DOCUMENT
delete document number 44,DELETE_DOCUMENT
delete document number 45,DELETE_DOCUMENT
delete document number 46,DELETE_DOCUMENT
delete document number 47,DELETE_DOCUMENT
delete document number 48,DELETE_DOCUMENT
delete document number 49,DELETE_DOCUMENT
delete document number 50,DELETE_DOCUMENT
